id,institution,category,subject,language,pdf_url,local_path
1,University of Lucknow,general,Trial Notice for Hockey (Men/Women),English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609231835246331.pdf,data/raw/pdfs/0001_Trial_Notice_for_Hockey_MenWomen.pdf
2,University of Lucknow,general,Instructions for Ensuring Cleanliness and Furniture Maintenance in University Departments and Institutions,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609231548050949.pdf,data/raw/pdfs/0002_Instructions_for_Ensuring_Cleanliness_and_Furniture_Maintenance_in_University_Departments_and_Instit.pdf
3,University of Lucknow,general,Strict Compliance with UGC Regulations 2009 for Prevention of Ragging,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609231548339855.pdf,data/raw/pdfs/0003_Strict_Compliance_with_UGC_Regulations_2009_for_Prevention_of_Ragging.pdf
4,University of Lucknow,general,"Trial Notice for Chess, Kabaddi and Cross Country Race (Men/Women)",English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609221835452992.pdf,data/raw/pdfs/0004_Trial_Notice_for_Chess_Kabaddi_and_Cross_Country_Race_MenWomen.pdf
5,University of Lucknow,general,Constitution of Committee for Inspection and Improvement of University Messes,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609221819465336.pdf,data/raw/pdfs/0005_Constitution_of_Committee_for_Inspection_and_Improvement_of_University_Messes.pdf
6,University of Lucknow,general,Co-Curricular Subject Selection for B.Sc. First Semester Students by 25 September 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609221820162680.pdf,data/raw/pdfs/0006_Co-Curricular_Subject_Selection_for_BSc_First_Semester_Students_by_25_September_2026.pdf
7,University of Lucknow,general,Appointment of Provosts and Assistant Provosts for Various University Halls,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609221820391273.pdf,data/raw/pdfs/0007_Appointment_of_Provosts_and_Assistant_Provosts_for_Various_University_Halls.pdf
8,University of Lucknow,general,Regarding Students’ Participation in the Indian Culture Knowledge Examination,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609211032597276.pdf,data/raw/pdfs/0008_Regarding_Students_Participation_in_the_Indian_Culture_Knowledge_Examination.pdf
9,University of Lucknow,general,Regarding Ensuring Maximum Student Registration and Participation in the Viksit Bharat Young Leader Dialogue (VBYLD) Quiz Competition,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609211040416183.pdf,data/raw/pdfs/0009_Regarding_Ensuring_Maximum_Student_Registration_and_Participation_in_the_Viksit_Bharat_Young_Leader_.pdf
10,University of Lucknow,general,Notice for Direct Admission under Sports Quota 2026-27,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609191641589817.pdf,data/raw/pdfs/0010_Notice_for_Direct_Admission_under_Sports_Quota_2026-27.pdf
11,University of Lucknow,examination,"Exam Form Notice Sem-5, 7 & 9 (Regular & Improvement) & Sem-3 (Improvement)",English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609221756164867.pdf,data/raw/pdfs/0011_Exam_Form_Notice_Sem-5_7_9_Regular_Improvement_Sem-3_Improvement.pdf
12,University of Lucknow,examination,Exam Form Notice Sem-3 Regular (Samarth),English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202609221754023148.pdf,data/raw/pdfs/0012_Exam_Form_Notice_Sem-3_Regular_Samarth.pdf
13,University of Lucknow,examination,Exonorated Result M.Com. 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181611404132.pdf,data/raw/pdfs/0013_Exonorated_Result_MCom_2026.pdf
14,University of Lucknow,examination,Paper Cancel Result M.Com. 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181610556007.pdf,data/raw/pdfs/0014_Paper_Cancel_Result_MCom_2026.pdf
15,University of Lucknow,examination,UFM Result M.Sc. 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181609484132.pdf,data/raw/pdfs/0015_UFM_Result_MSc_2026.pdf
16,University of Lucknow,examination,"UFM Result B.Tech, MCA & B.Pharma. 2026",English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181608522882.pdf,data/raw/pdfs/0016_UFM_Result_BTech_MCA_BPharma_2026.pdf
17,University of Lucknow,examination,UFM Result LL.B. (3 Years) 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181607205850.pdf,data/raw/pdfs/0017_UFM_Result_LLB_3_Years_2026.pdf
18,University of Lucknow,examination,UFM Result LL.B. (Hon) & LLM 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181606341632.pdf,data/raw/pdfs/0018_UFM_Result_LLB_Hon_LLM_2026.pdf
19,University of Lucknow,examination,UFM Result MA 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202608181605230225.pdf,data/raw/pdfs/0019_UFM_Result_MA_2026.pdf
20,University of Lucknow,examination,Final Medal List Convocation 2026,English,https://www.lkouniv.ac.in/site/writereaddata/UploadNews/pdf/C_202607301333055531.pdf,data/raw/pdfs/0020_Final_Medal_List_Convocation_2026.pdf
21,Jawaharlal Nehru University,general,Circular regarding holiday on 11.09.2026,English,https://www.jnu.ac.in/sites/default/files/inline-files/CIRCULAR09072026.pdf,data/raw/pdfs/0021.pdf
22,Jawaharlal Nehru University,general,Extension of date for Add/Drop courses for newly admitted students for Monsoon Semester 2026,English,https://www.jnu.ac.in/sites/default/files/inline-files/Extension_AddDrop_New%20Students_MS2026.pdf,data/raw/pdfs/0022.pdf
23,Jawaharlal Nehru University,general,Commencement of classes for newly admitted students of the UG Prog (AS 2026-27),English,https://www.jnu.ac.in/sites/default/files/inline-files/commencement-of-classes-UGprog-2026-27.pdf,data/raw/pdfs/0023.pdf
24,Jawaharlal Nehru University,general,Extension of registration and Add/Drop date for Monsoon Semester 2026,English,https://www.jnu.ac.in/sites/default/files/inline-files/Extension_Add-Drop_MS2026.pdf,data/raw/pdfs/0024.pdf
25,Jawaharlal Nehru University,general,Registration for Monsoon Semester 2026,English,https://www.jnu.ac.in/sites/default/files/notices/Circular_Registration_for_MonsoonSemester2026.pdf,data/raw/pdfs/0025.pdf
26,Jawaharlal Nehru University,general,Public Notice dt: 19-06-2026 reg. Section 49,English,https://www.jnu.ac.in/sites/default/files/notices/Notice19-06-2026_reg_Section49.pdf,data/raw/pdfs/0026.pdf
27,Jawaharlal Nehru University,general,Circular reg. change in date of holiday on account of Eid-ul-Zuha (Bakrid),English,https://www.jnu.ac.in/sites/default/files/notices/Circular_holiday_date_change_Eid-ul-Zuha.pdf,data/raw/pdfs/0027.pdf
28,Jawaharlal Nehru University,general,"Circular regarding Holiday on 14th April, 2026",English,https://www.jnu.ac.in/sites/default/files/inline-files/Circular04102026.pdf,data/raw/pdfs/0028.pdf
29,Jawaharlal Nehru University,general,Statement dt: 23-02-2026,English,https://www.jnu.ac.in/sites/default/files/notices/JNU_Statement_23-2-2026.pdf,data/raw/pdfs/0029.pdf
30,Jawaharlal Nehru University,general,Notification for commencement of classes for Ph.D Winter 2026 batch,English,https://www.jnu.ac.in/sites/default/files/notices/Notification_for_commencement_of_classes_for_PhD_WS2026_0.pdf,data/raw/pdfs/0030.pdf
31,Jawaharlal Nehru University,general,Extension of Add/Drop date for Winter Semester 2026,English,https://www.jnu.ac.in/sites/default/files/notices/Extension%20of%20Add_Drop%20Date_%20Winter%20Semester%202026.pdf,data/raw/pdfs/0031.pdf
32,Jawaharlal Nehru University,general,"Independence Day, the Flag Hoisting Ceremony",English,https://www.jnu.ac.in/sites/default/files/notices/CircularregardingIndependenceDaycelebration_2026.pdf,data/raw/pdfs/0032.pdf
33,Jawaharlal Nehru University,general,"Implementation of the nationwide ""Nasha Mukt Yuva for Viksit Bharat"" Campaign on 2nd August, 2026",English,https://www.jnu.ac.in/sites/default/files/inline-files/Circular_Implementation_NashaMuktYuva_Campaign.pdf,data/raw/pdfs/0033.pdf
34,Jawaharlal Nehru University,general,Republic Day celebration,English,https://www.jnu.ac.in/sites/default/files/notices/Circular_reg_RepublicDay01232026.pdf,data/raw/pdfs/0034.pdf
35,Jawaharlal Nehru University,general,Celebration of 16th National Voters' Day,English,https://www.jnu.ac.in/sites/default/files/notices/Circular%20regarding%2016th%20National%20Voters%20Day01202026.pdf,data/raw/pdfs/0035.pdf
36,Jawaharlal Nehru University,hostel,Manual,English,https://www.jnu.ac.in/sites/default/files/upload/2020-10/Hostel%20Manual.pdf,data/raw/pdfs/0036.pdf
37,Jawaharlal Nehru University,hostel,Tentative seniority list for single seater boys 2026-.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/Tentative%20seniority%20list%20for%20single%20seater%20boys%202026-.pdf,data/raw/pdfs/0037.pdf
38,Jawaharlal Nehru University,hostel,Tentative seniority list for single seater boys 2026......pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/Tentative%20seniority%20list%20for%20single%20seater%20boys%202026......pdf,data/raw/pdfs/0038.pdf
39,Jawaharlal Nehru University,hostel,Tentative seniority list for single seater girls  2026.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/Tentative%20seniority%20list%20for%20single%20seater%20girls%20%202026.pdf,data/raw/pdfs/0039.pdf
40,Jawaharlal Nehru University,hostel,PG Boys dormitory allotment list 2026-27...pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/PG%20Boys%20dormitory%20allotment%20list%202026-27...pdf,data/raw/pdfs/0040.pdf
41,Jawaharlal Nehru University,hostel,PG Girls Dormitory allotment.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/PG%20Girls%20Dormitory%20allotment.pdf,data/raw/pdfs/0041.pdf
42,Jawaharlal Nehru University,hostel,Re-revised schedule for single seater 2026-27-1.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/Re-revised%20schedule%20for%20single%20seater%202026-27-1.pdf,data/raw/pdfs/0042.pdf
43,Jawaharlal Nehru University,hostel,UG BOYS DORMITORY ALLOTMENT LIST 2026-27 (2).pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/UG%20BOYS%20DORMITORY%20ALLOTMENT%20LIST%202026-27%20%282%29.pdf,data/raw/pdfs/0043.pdf
44,Jawaharlal Nehru University,hostel,UG BOYS B-TECH. STUDENTS HOSTEL ALLOTMENT 2026-27.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/UG%20BOYS%20B-TECH.%20STUDENTS%20HOSTEL%20ALLOTMENT%202026-27.pdf,data/raw/pdfs/0044.pdf
45,Jawaharlal Nehru University,hostel,PG GIRLS DORMITORY ALLOTMENT LIST.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/PG%20GIRLS%20DORMITORY%20ALLOTMENT%20LIST.pdf,data/raw/pdfs/0045.pdf
46,Jawaharlal Nehru University,hostel,PG boys hostel allotment list 2026-27.pdf,English,https://www.jnu.ac.in/sites/default/files/circular_notices_iha/PG%20boys%20hostel%20allotment%20list%202026-27.pdf,data/raw/pdfs/0046.pdf
47,Banaras Hindu University,admission,Information Bulletin,English,https://storage.bhu.ac.in/strapi-media/uploads/FINAL_DRAFT_BHU_UG_2026_Information_Bulletin_23032026_b86ed3fbb0.pdf,data/raw/pdfs/0047.pdf
48,Banaras Hindu University,admission,Information Bulletin,English,https://storage.bhu.ac.in/strapi-media/uploads/PG_Bulletin_2026_Final_compressed_51f86ccb53.pdf,data/raw/pdfs/0048.pdf
49,Banaras Hindu University,admission,Information Bulletin,English,https://storage.bhu.ac.in/strapi-media/uploads/Information_Bulletin_BVSC_AH_31082026_dc82e37786.pdf,data/raw/pdfs/0049.pdf
50,Banaras Hindu University,admission,UG_Mop_Up_R2.pdf,English,https://storage.bhu.ac.in/strapi-media/uploads/UG_Mop_Up_R2_8aa2b0a4e4.pdf,data/raw/pdfs/0050.pdf
51,Banaras Hindu University,admission,Ug_mop_up_reporting_2026.pdf,English,https://storage.bhu.ac.in/strapi-media/uploads/Ug_mop_up_reporting_2026_39d4e4ef92.pdf,data/raw/pdfs/0051.pdf
